---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 1.0
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000.0
num_episodes: 100000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs/runs2
saved_dir: output/output2
log_file: output/output2/train.log
gpu: 0
sim_rom_mode: False
--------

Episode: 1/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 2/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 3/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 4/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 5/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 6/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 7/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 8/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 9/100000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 10/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 11/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 12/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 13/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 14/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 15/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 16/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 17/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 18/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 19/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 20/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 21/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 22/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 23/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 24/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 25/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 26/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 27/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 28/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 29/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 30/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 31/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 32/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 33/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 34/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 35/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 36/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 37/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 38/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 39/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 40/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 41/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 42/100000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 43/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 44/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 45/100000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 46/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 47/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 48/100000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 49/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 50/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 51/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 52/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 53/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 54/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 55/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 56/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 57/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 58/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 59/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 60/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
