---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 0.999
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000
num_episodes: 10000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs
saved_dir: output/gamma0999
log_file: output/gamma0999/train.log
gpu: 1
sim_rom_mode: False
--------

Episode: 1/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 2/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 3/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 4/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 5/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 6/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 7/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 8/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 9/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 10/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 11/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 12/10000, Score: 29, Tetrominoes 21, Cleared lines: 1
Episode: 13/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 14/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 15/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 16/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 17/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 18/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 19/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 20/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 21/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 22/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 23/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 24/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 25/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 26/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 27/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
